id,furniture_id,style,room,name,type,price,image_link,purchase_link
21,CT004,MODERN,LIVING ROOM,IDANÄS ,COFFEE TABLE,999,https://www.dropbox.com/scl/fi/r048p75o7222j718et5ub/2025-06-09-10-27-09.jpg?rlkey=h0i83o3j8tz2dvi3pz194rkr1&st=vzuoolaj&dl=1,https://www.ikea.com/my/en/p/idanaes-coffee-table-dark-brown-stained-90500003/
22,CT005,MODERN,LIVING ROOM,HEMNES_1,COFFEE TABLE,599,https://www.dropbox.com/scl/fi/aqyxfvumw9rrchgj523gr/2025-06-09-10-35-38.jpg?rlkey=ystldbwtckqiahnxkpn2b3oq3&st=0phv937y&dl=1,https://www.ikea.com/my/en/p/hemnes-coffee-table-white-stain-light-brown-10413496/
23,CT006,MODERN,LIVING ROOM,HAVSTA,COFFEE TABLE,699,https://www.dropbox.com/scl/fi/92qd8yvs3h2pcwrn88hlf/2025-06-09-10-36-26.jpg?rlkey=imq6yi9cgc99s5i3qcu2dkbwe&st=hy7f7vee&dl=1,https://www.ikea.com/my/en/p/havsta-coffee-table-white-90404266/
24,CUR001,MODERN,LIVING ROOM,MERETE,CURTAINS,120,https://www.dropbox.com/scl/fi/71vmwknrbioi8y9d59h6s/2025-06-09-10-49-20.jpg?rlkey=ifuyzs7ddhmb0enpbc389sf7a&st=dg7neru4&dl=1,https://www.ikea.com/my/en/p/merete-room-darkening-curtains-1-pair-white-with-eyelets-70172205/
25,CUR002,MODERN,LIVING ROOM,GINSTMOTT,CURTAINS,85,https://www.dropbox.com/scl/fi/229l1i4xvse7x3o3903gq/2025-06-09-10-50-06.jpg?rlkey=72c8txhfyhbo02f2reli9dlqo&st=sk3c27ke&dl=1,https://www.ikea.com/my/en/p/ginstmott-curtains-1-pair-dark-grey-with-eyelets-70605421/
26,CUR003,MODERN,LIVING ROOM,HILJA,CURTAINS,60,https://www.dropbox.com/scl/fi/lt39x6nioautnhh5yqt7c/2025-06-09-10-50-59.jpg?rlkey=3xslrc7diugux0i1i76wsamqo&st=koymanc1&dl=1,https://www.ikea.com/my/en/p/hilja-curtains-1-pair-grey-with-heading-tape-20390734/
27,SHV001,SCANDINAVIAN,LIVING ROOM,ENHET_1,SHELVES,225,https://www.dropbox.com/scl/fi/ft8o1sbeue33mrhza06kn/EHNET-SHELVES.png?rlkey=zhj7h4i80hpe2bmx39h8fjseo&st=x4tg1p7c&dl=1,https://www.ikea.com/my/en/p/enhet-wall-fr-w-shelves-white-70481618/
28,SHV002,SCANDINAVIAN,LIVING ROOM,ENHET_2,SHELVES,260,https://www.dropbox.com/scl/fi/ipjju1gzr6xi01pmt2vx5/ENHET-SHELVES-2.png?rlkey=v8z76ptjdgutmtnzv505s9nxd&st=y9386nlq&dl=1,https://www.ikea.com/my/en/p/enhet-wall-cb-w-2-shlvs-door-white-s89395098/
29,SHV003,SCANDINAVIAN,LIVING ROOM,ENHET OAK,SHELVES,270,https://www.dropbox.com/scl/fi/5tuc5rn4z55w7e5qq00l5/ENHET-OAK.png?rlkey=rrpan51hdei61tk9kuj1w5e8t&st=6zlbvwmh&dl=1,https://www.ikea.com/my/en/p/enhet-wall-cb-w-2-shlvs-door-white-oak-effect-s79395107/
30,SF004,SCANDINAVIAN,LIVING ROOM,PARUP ,SOFA,2395,https://www.dropbox.com/scl/fi/794j29uvk6wbs132bd854/PARUP-SOFA.png?rlkey=dyls2p0wzhzelyt3ya3unob56&st=6gjd73yu&dl=1,https://www.ikea.com/my/en/p/paerup-3-seat-sofa-with-chaise-longue-gunnared-dark-grey-s49389829/
