id,style,room,name ,type,price ,imageLink,purchaseLink
36,COSY,LIVING ROOM,KALLAX 3,DRAWER,299,https://www.dropbox.com/scl/fi/il77xb8l5trwal01x17hl/KALLAX-3.png?rlkey=alldv7b8khfbw2de5htw95c5f&st=aywykql6&dl=1,https://www.ikea.com/my/en/p/kallax-tv-bench-white-stained-oak-effect-00562095/#content
37,MODERN,BED ROOM,TUFJORD,BED FRAME,1899,https://www.dropbox.com/scl/fi/g0w43b5hb1r1884qlh4nd/Tufjord.jpg?rlkey=dw8denbjxuarx5nn27l2i8jqp&st=gvosn0r4&dl=1,https://www.ikea.com/my/en/p/tufjord-upholstered-bed-frame-tallmyra-white-black-luroey-s49555324/
38,MODERN,BED ROOM,TALLASEN,BED FRAME,1149,https://www.dropbox.com/scl/fi/g0w43b5hb1r1884qlh4nd/Tufjord.jpg?rlkey=dw8denbjxuarx5nn27l2i8jqp&st=gvosn0r4&dl=1,https://www.ikea.com/my/en/p/taellasen-upholstered-bed-frame-kulsta-light-beige-70564779/
39,MODERN,BED ROOM,IDANAS,BED FRAME,1999,https://www.dropbox.com/scl/fi/j8w1244s156gzicb1lk0e/Idanas.jpg?rlkey=cbkr4vrvi2q2qux3pv2r9wscy&st=xt31grxb&dl=1,https://www.ikea.com/my/en/p/idanaes-upholstered-storage-bed-naggen-beige-50588093/
40,MODERN,BED ROOM,DYKARKLOCKA,LAMP,249,https://www.dropbox.com/scl/fi/789r9rfoi7wb9xol0dk5b/Dykarklocka.jpg?rlkey=5qtv4185tf65143iestl3oo8h&st=5js18h2f&dl=1,https://www.ikea.com/my/en/p/dykarklocka-pendant-lamp-shade-white-stained-oak-veneer-80561662/
41,MODERN,BED ROOM,REGOLIT,LAMP,23,https://www.dropbox.com/scl/fi/ycw454u1d3wikmf57hq7y/Vittsjo.jpg?rlkey=rvetfv6e4xszz0wm9ajpnfsul&st=eqwbkhoi&dl=1,https://www.ikea.com/my/en/p/regolit-hemma-pendant-lamp-white-s49471230/
42,MODERN,BED ROOM,ODGER,CHAIR,325,https://www.dropbox.com/scl/fi/d32f369vri156xjdydb8b/Regolit.jpg?rlkey=qzcy9azb8sb05h7e5zyctdn2r&st=g43xz37a&dl=1,https://www.ikea.com/my/en/p/odger-chair-red-50516553/
43,MODERN,BED ROOM,KRYLBO,CHAIR,225,https://www.dropbox.com/scl/fi/kldsnbigrerct7fa8ud0k/Krylbo.jpg?rlkey=jkgetvxxfm910b8btvn16782r&st=4keh4fhe&dl=1,https://www.ikea.com/my/en/p/krylbo-chair-tonerud-dark-beige-80566749/
44,MODERN,BED ROOM,GRONSTA,CHAIR,295,https://www.dropbox.com/scl/fi/m70tf0z42xjswn5nk0lca/Gronsta.jpg?rlkey=l3tzzssig2lijdb9wz7pc9go2&st=gy3mnoui&dl=1,https://www.ikea.com/my/en/p/groensta-chair-in-outdoor-white-20559761/
45,MODERN,BED ROOM,VITTSJO,COFFEE TABLE,199,https://www.dropbox.com/scl/fi/ycw454u1d3wikmf57hq7y/Vittsjo.jpg?rlkey=rvetfv6e4xszz0wm9ajpnfsul&st=eqwbkhoi&dl=1,https://www.ikea.com/my/en/p/vittsjoe-coffee-table-black-brown-glass-00213313/
46,MODERN,BED ROOM,LACK,COFFEE TABLE,99,https://www.dropbox.com/scl/fi/dgx9uru2imcc6k5mru27i/Lack.jpg?rlkey=c6pptd1e0hy900ihfiduii7rz&st=o819x97l&dl=1,https://www.ikea.com/my/en/p/lack-coffee-table-black-brown-20352987/
47,MODERN,BED ROOM,JAKOBSFORS,COFFEE TABLE,599,https://www.dropbox.com/scl/fi/mdm360is8w7kjxk0yvmnq/Jakobsfors.jpg?rlkey=xk0e7xmmhmft6ymfi86qg1smn&st=2eg7g413&dl=1,https://www.ikea.com/my/en/p/jakobsfors-coffee-table-dark-brown-stained-oak-veneer-30515168/
48,MODERN,BED ROOM,BILLY,BOOKCASE,359,https://www.dropbox.com/scl/fi/sabiw10qu1q7yxejpue3f/Billy.jpg?rlkey=o31g21d0i8yqaj24ky3457021&st=nclfy74a&dl=1,https://www.ikea.com/my/en/p/billy-bookcase-black-oak-effect-20477341/
49,MODERN,BED ROOM,BRIMNES,BOOKCASE,529,https://www.dropbox.com/scl/fi/j60a8f6e03kfn5ilthmkr/Brimnes.jpg?rlkey=iowsg86ulidh6yzbx6c424jlg&st=xp95f923&dl=1,https://www.ikea.com/my/en/p/brimnes-bookcase-black-30351685/
50,MODERN,BED ROOM,GERSBY,BOOKCASE,129,https://www.dropbox.com/scl/fi/789r9rfoi7wb9xol0dk5b/Dykarklocka.jpg?rlkey=5qtv4185tf65143iestl3oo8h&st=5js18h2f&dl=1,https://www.ikea.com/my/en/p/gersby-bookcase-white-60360730/
