id,furniture_id,style,room,name,type,price,image_link,purchase_link
126,PP001,MODERN,LIVING ROOM,CHRYSALIDOCARPUS LUTESCENS,potted plant,30,https://www.ikea.com/my/en/images/products/chrysalidocarpus-lutescens-potted-plant-areca-palm__67424_pe181267_s5.jpg?f=xl,https://www.ikea.com/my/en/p/chrysalidocarpus-lutescens-potted-plant-areca-palm-30415437/
127,PP002,MODERN,LIVING ROOM,MONSTERA DELICIOSA,potted plant,15,https://www.ikea.com/my/en/images/products/monstera-deliciosa-potted-plant-swiss-cheese-plant__0554567_pe659828_s5.jpg?f=xl,https://www.ikea.com/my/en/p/monstera-deliciosa-potted-plant-swiss-cheese-plant-00492007/
128,PP003,SCANDINAVIAN,LIVING ROOM,FEJKA,potted plant,299,https://www.ikea.com/my/en/images/products/fejka-artificial-potted-plant-in-outdoor-weeping-fig__0748885_pe745274_s5.jpg?f=xl,https://www.ikea.com/my/en/p/fejka-artificial-potted-plant-in-outdoor-weeping-fig-00491574/
129,PP004,SCANDINAVIAN,LIVING ROOM,RHAPIS EXCELSA,potted plant,35,https://www.ikea.com/my/en/images/products/rhapis-excelsa-potted-plant-bamboo-palm__67510_pe181342_s5.jpg?f=xl,https://www.ikea.com/my/en/p/rhapis-excelsa-potted-plant-bamboo-palm-00470736/
130,PP005,SCANDINAVIAN,BEDROOM,CHRYSALIDOCARPUS LUTESCENS,potted plant,30,https://www.ikea.com/my/en/images/products/chrysalidocarpus-lutescens-potted-plant-areca-palm__67424_pe181267_s5.jpg?f=xl,https://www.ikea.com/my/en/p/chrysalidocarpus-lutescens-potted-plant-areca-palm-30415437/
131,PP006,SCANDINAVIAN,BEDROOM,RHAPIS EXCELSA,potted plant,35,https://www.ikea.com/my/en/images/products/rhapis-excelsa-potted-plant-bamboo-palm__67510_pe181342_s5.jpg?f=xl,https://www.ikea.com/my/en/p/rhapis-excelsa-potted-plant-bamboo-palm-00470736/
132,PP007,MODERN,BEDROOM,FICUS LYRATA,potted plant,29,https://www.ikea.com/my/en/images/products/ficus-lyrata-potted-plant-fiddle-leaf-fig__0836979_pe778632_s5.jpg?f=xl,https://www.ikea.com/my/en/p/ficus-lyrata-potted-plant-fiddle-leaf-fig-40578570/
133,PP008,MODERN,BEDROOM,DRACAENA MASSANGEANA,potted plant,19,https://www.ikea.com/my/en/images/products/dracaena-massangeana-potted-plant-dom-plant__0654003_pe708232_s5.jpg?f=xl,https://www.ikea.com/my/en/p/dracaena-massangeana-potted-plant-dom-plant-40470739/
134,PP009,MODERN,BEDROOM,MONSTERA DELICIOSA,potted plant,15,https://www.ikea.com/my/en/images/products/monstera-deliciosa-potted-plant-swiss-cheese-plant__0554567_pe659828_s5.jpg?f=xl,https://www.ikea.com/my/en/p/monstera-deliciosa-potted-plant-swiss-cheese-plant-00492007/
135,PP010,MODERN,LIVING ROOM,SPATHIPHYLLUM,potted plant,25,https://www.ikea.com/my/en/images/products/spathiphyllum-potted-plant-peace-lily__0653998_pe708227_s5.jpg?f=xl,https://www.ikea.com/my/en/p/spathiphyllum-potted-plant-peace-lily-80470737/
136,PP011,MODERN,LIVING ROOM,FICUS ELASTICA,potted plant,79,https://www.ikea.com/my/en/images/products/ficus-elastica-potted-plant__0531009_pe647126_s5.jpg?f=xl,https://www.ikea.com/my/en/p/ficus-elastica-potted-plant-10477110/
137,PP012,MODERN,LIVING ROOM,FICUS,potted plant,15,https://www.ikea.com/my/en/images/products/ficus-potted-plant-bonsai__0130318_pe284623_s5.jpg?f=xl,https://www.ikea.com/my/en/p/ficus-potted-plant-bonsai-50530733/
138,PP013,SCANDINAVIAN,LIVING ROOM,DRACAENA,potted plant,12,https://www.ikea.com/my/en/images/products/ficus-potted-plant-bonsai__0130318_pe284623_s5.jpg?f=xl,https://www.ikea.com/my/en/p/dracaena-potted-plant-lotus-bamboo-80415473/
139,PP014,SCANDINAVIAN,LIVING ROOM,ZAMIOCULCAS,potted plant,30,https://www.ikea.com/my/en/images/products/zamioculcas-potted-plant-aroid-palm__0364400_pe547594_s5.jpg?f=xl,https://www.ikea.com/my/en/p/zamioculcas-potted-plant-aroid-palm-90415415/
140,PP015,SCANDINAVIAN,LIVING ROOM,ANTHURIUM,potted plant,15,https://www.ikea.com/my/en/images/products/anthurium-potted-plant-flamingo-plant-assorted-colours__0116189_pe270375_s5.jpg?f=xl,https://www.ikea.com/my/en/p/anthurium-potted-plant-flamingo-plant-assorted-colours-00415434/
141,PF001,SCANDINAVIAN,LIVING ROOM,SANNAHED,photo frame,40,https://www.ikea.com/my/en/images/products/sannahed-frame-white__0921402_pe787793_s5.jpg?f=xl,https://www.ikea.com/my/en/p/sannahed-frame-white-00459121/
142,PF002,SCANDINAVIAN,LIVING ROOM,RÖDALM,photo frame,59,https://www.ikea.com/my/en/images/products/roedalm-frame-white__1251256_pe924220_s5.jpg?f=xl,https://www.ikea.com/my/en/p/roedalm-frame-white-30550109/
143,PF003,SCANDINAVIAN,LIVING ROOM,VÄSTANHED,photo frame,35,https://www.ikea.com/my/en/images/products/vaestanhed-frame-black__0835525_pe778453_s5.jpg?f=xl,https://www.ikea.com/my/en/p/vaestanhed-frame-black-20479217/
144,PF004,MODERN,LIVING ROOM,KNOPPÄNG,photo frame,15,https://www.ikea.com/my/en/images/products/knoppaeng-frame-white__0660801_pe711210_s5.jpg?f=xl,https://www.ikea.com/my/en/p/knoppaeng-frame-white-60427269/
145,PF005,MODERN,LIVING ROOM,SILVERHÖJDEN,photo frame,15,https://www.ikea.com/my/en/images/products/silverhoejden-frame-silver-colour__0638521_pe698981_s5.jpg?f=xl,https://www.ikea.com/my/en/p/silverhoejden-frame-silver-colour-70297432/
146,PF006,MODERN,LIVING ROOM,EDSBRUK,photo frame,45,https://www.ikea.com/my/en/images/products/edsbruk-frame-black-stained__0722825_pe733740_s5.jpg?f=xl,https://www.ikea.com/my/en/p/edsbruk-frame-black-stained-90427625/
147,PF007,SCANDINAVIAN,BEDROOM,VIRSERUM,photo frame,25,https://www.ikea.com/my/en/images/products/virserum-frame-gold-colour__0638576_pe699019_s5.jpg?f=xl,https://www.ikea.com/my/en/p/virserum-frame-gold-colour-40378514/
148,PF008,SCANDINAVIAN,BEDROOM,RÖDALM,photo frame,39,https://www.ikea.com/my/en/images/products/roedalm-frame-for-3-pictures-black__1251528_pe924246_s5.jpg?f=xl,https://www.ikea.com/my/en/p/roedalm-frame-for-3-pictures-black-80553723/
149,PF009,SCANDINAVIAN,BEDROOM,FISKBO,photo frame,30,https://www.ikea.com/my/en/images/products/fiskbo-frame-white__0638105_pe698710_s5.jpg?f=xl,https://www.ikea.com/my/en/p/fiskbo-frame-white-80300472/
150,PF010,MODERN,BEDROOM,YLLEVAD,photo frame,7,https://www.ikea.com/my/en/images/products/yllevad-frame-white__0790093_pe767445_s5.jpg?f=xl,https://www.ikea.com/my/en/p/yllevad-frame-white-60429758/
151,PF011,MODERN,BEDROOM,FISKBO,photo frame,10,https://www.ikea.com/my/en/images/products/fiskbo-frame-black__0638096_pe698701_s5.jpg?f=xl,https://www.ikea.com/my/en/p/fiskbo-frame-black-90297426/
